name,amount,date,production_company,channel,format,genre,fund_name
Carols In The Caves,"$57,561",Jun 2009,Television New Zealand,TV One,1 x 60 mins,Arts/Culture,TV Production
TV Captioning 2009/10,"$1,900,000",Jun 2009,TVNZ,Captioning and Audio Description,,,Captioning and Audio Description
The Truth About Us,"$169,308",Apr 2009,Project Melting Pot,TV One,1 x 60 mins,Documentary,TV Production
Go Girls 2,"$6,246,000",Apr 2009,South Pacific Pictures,TV 2,13 x 60 mins,Drama,TV Production
Missing Pieces 2,"$607,086",Apr 2009,Eyeworks New Zealand,TV3,10 x 30 mins,Documentary,TV Production
Just The Job 4,"$127,194",Apr 2009,Dave Mason Productions,TV 2,10 x 30 mins,Children,TV Production
The Band,"$133,206",Apr 2009,Frame Up Films,Prime,1 x 60 mins,Documentary,TV Production
48 Hours 2009,"$142,952",Apr 2009,Two Heads,C4,12 x 30 mins,Arts/Culture,TV Production
Smokefree Rockquest 2009,"$261,492",Apr 2009,Visionary Film & TV,C4,6 x 30 mins,Children,TV Production
Hip Hop High,"$495,925",Apr 2009,Black Inc Media,TV 2,6 x 30 mins,Arts/Culture,TV Production
7 Days 2009,"$528,581",Apr 2009,TVWorks,TV3,24 x 30 mins,Comedy,TV Production
The $181 Dream,"$86,137",Apr 2009,Paua Productions,TV3,1 x 60 mins,Documentary,TV Production
Chasing The Ghost,"$102,000",Feb 2009,Project Melting Pot,TV One,1 x 60 mins,Documentary,TV Production
The Worst Offenders,"$124,869",Feb 2009,Southern Screen Productions,TV One,1 x 60 mins,Documentary,TV Production
Eruption,"$1,585,000",Feb 2009,The Gibson Group,TV3,1 x 120 mins,Drama,TV Production
Laughing Samoans At Large,"$485,663",Feb 2009,Television New Zealand,TV 2,8 x 30 mins,Comedy,TV Production
Radiradirah,"$1,761,425",Feb 2009,Firehorse Films,TV3,8 x 30 mins,Comedy,TV Production
High Country Rescue,"$520,000",Feb 2009,South Pacific Pictures,TV One,8 x 30 mins,Documentary,TV Production
Extraordinary Kiwis 3,"$256,690",Feb 2009,Execam,Prime,10 x 30 mins,Documentary,TV Production
The Warriors,"$93,035",Feb 2009,MediaWorks TV,TV3,6 x 20 mins,Documentary,TV Production
Brother Number One,"$170,000",Feb 2009,BNO Productions,TV3,1 x 60 mins,Documentary,TV Production
Peter Pan,"$270,850",Feb 2009,TVNZ,TV One,1 x 120 mins,Arts/Culture,TV Production
Seven Worlds Collide - Again,"$59,710",Feb 2009,Republic Films & Automatic Films,TV One,1 x 60 mins,Arts/Culture,TV Production
Anzac 2009: Pacific Islands,"$133,100",Feb 2009,Maori Television Service,Maori Television,1 x 90 mins,Arts/Culture,TV Production
How To Spot A Cult,"$215,115",Feb 2009,The Gibson Group,TV3,2 x 60 mins,Documentary,TV Production
The Erin Simpson Show 2009,"$1,950,367",Dec 2008,Whitebait Productions,TV 2,150 x 30 mins,Children,TV Production
Studio 2 2009,"$1,515,522",Dec 2008,Television New Zealand,TV 2,120 x 32 mins,Children,TV Production
Brown Bruthaz,"$684,417",Dec 2008,Cinco Cine Film Productions,TV3,6 x 30 mins,Comedy,TV Production
Are Vitamins Killing You?,"$98,724",Dec 2008,Screentime New Zealand,TV3,1 x 60 mins,Documentary,TV Production
Line Of Fire,"$300,000",Dec 2008,The Gibson Group,TV One,3 x 60 mins,Documentary,TV Production
The Truth About Asian Crime,"$135,019",Dec 2008,Top Shelf Productions,TV3,1 x 60 mins,Documentary,TV Production
Open Door 10,"$387,520",Dec 2008,Morningside Prod,TV3,10 x 30 mins,Special Interest,TV Production
Moon TV 6,"$286,220",Dec 2008,Moon Enterprises,TV 2,10 x 30 mins,Comedy,TV Production
The Missing Piece,"$549,290",Dec 2008,Ponsonby Productions,TV One,4 x 60 mins,Documentary,TV Production
Stage Challenge 2009,"$334,653",Dec 2008,Mercator Supply Co (NZ) Pty,TV3,7 x 30 mins,Children,TV Production
Bogan Family Films,"$410,340",Dec 2008,Great Southern Television,C4,6 x 30 mins,Comedy,TV Production
A Night At The Classic,"$261,450",Dec 2008,Two Heads,TV 2,6 x 30 mins,Comedy,TV Production
Comedy Gala 2009,"$134,868",Dec 2008,Satellite Media Group,TV 2,2 x 60 mins,Comedy,TV Production
The Jaquie Brown Diaries 2,"$1,316,441",Dec 2008,Young Gifted & Brown,TV3,8 x 30 mins,Comedy,TV Production
Caravan Of Life,"$336,812",Dec 2008,Jam TV,TV One,7 x 30 mins,Documentary,TV Production
50 Years Of Television In New Zealand,"$1,249,973",Dec 2008,Cream Media,Prime,7 x 60 mins,Documentary,TV Production
The Cult,"$6,499,515",Dec 2008,Great Southern Television,TV 2,13 x 60 mins,Drama,TV Production
Saving Face,"$155,171",Dec 2008,Top Shelf Productions,TV One,1 x 60 mins,Documentary,TV Production
Dirty Bloody Hippies,"$169,991",Dec 2008,Big Pictures Company,TV One,1 x 60 mins,Documentary,TV Production
Crime & Punishment,"$157,080",Dec 2008,Bates Productions,TV One,1 x 60 mins,Documentary,TV Production
Quest For Justice (Initial Contract),"$50,124",Dec 2008,Ninox Television,TV One,1 x 60 mins,Documentary,TV Production
Intersexion,"$169,836",Dec 2008,Ponsonby Productions,TV One,1 x 60 mins,Documentary,TV Production
Xeno - A Cure For Diabetes?,"$165,664",Dec 2008,PRN Films,TV One,1 x 60 mins,Documentary,TV Production
Jesus: The Cold Case,"$204,000",Dec 2008,Red Sky Film & Television,TV One,1 x 120 mins,Documentary,TV Production
My God 4,"$410,000",Oct 2008,Pacific Screen,TV One,10 x 30 mins,Special Interest,TV Production
Tagata Pasifika 2009,"$1,445,317",Oct 2008,Television New Zealand,TV One,52 x 30 mins,Special Interest,TV Production
Polyfest 2009,"$200,728",Oct 2008,Television New Zealand,TV 2,5 x 30 mins,Arts/Culture,TV Production
Activate 2,"$469,325",Oct 2008,Quick TV,TV 2,15 x 30 mins,Children,TV Production
Rural Delivery 2009,"$776,571",Oct 2008,Showdown Productions,TV One,30 x 30 mins,Special Interest,TV Production
Asia Downunder 2009,"$1,268,146",Oct 2008,Asia Vision,TV One,40 x 30 mins,Special Interest,TV Production
Pukana Subtitles 2009,"$71,639",Oct 2008,Cinco Cine Film Productions,TV3,Special Interest,TV Production,TV Production
Attitude 2009,"$1,634,817",Oct 2008,RSVP Productions,TV One,40 x 30 mins,Special Interest,TV Production
I Am TV 2009,"$1,445,338",Oct 2008,Television New Zealand,TV 2,35 x 60 mins,Youth,TV Production
Praise Be 2009,"$494,898",Oct 2008,Television New Zealand,TV One,49 x 30 mins,Special Interest,TV Production
The Comedy Christmas Gala,"$131,660",Oct 2008,Satellite Media Group,TV 2,1 x 90 mins,Comedy,TV Production
Rocked The Nation 2,"$648,911",Oct 2008,Satellite Media Group,C4,6 x 60 mins,Documentary,TV Production
Anzac Day 2009 Dawn Service,"$59,763",Oct 2008,Television New Zealand,TV One,1 x 45 mins,Arts/Culture,TV Production
Anzac Day 2009 Wreathlaying,"$47,641",Oct 2008,Television New Zealand,TV One,1 x 90 mins,Arts/Culture,TV Production
Sticky TV 2009,"$1,934,769",Oct 2008,Pickled Possum Productions,TV3,210 x 40 mins,Children,TV Production
What Now 2009,"$2,979,840",Oct 2008,What Now,TV 2,40 x 120 mins,Children,TV Production
Action Central 2,"$1,290,757",Oct 2008,Pickled Possum Productions,TV3,65 x 10 mins,Children,TV Production
Minority Voices,"$354,761",Oct 2008,Butobase,TV One,10 x 30 mins,Special Interest,TV Production
Boy,"$400,000",Oct 2008,Whenua Films,Maori Television,1 x 120 mins,Drama,TV Production
Home By Christmas,"$400,000",Oct 2008,Doublehead Films,TV One,1 x 120 mins,Drama,TV Production
The Outlook For Someday 2,"$146,386",Oct 2008,Connected Media Trust,TV 2,1 x 60 mins,Documentary,TV Production
To Sir With Love,"$199,995",Oct 2008,The Producers,TV One,1 x 120 mins,Arts/Culture,TV Production
Opshop - Secondhand Planet,"$43,503",Oct 2008,Zoomslide Media,TV3,1 x 60 mins,Documentary,TV Production
Small Blacks TV 2009,"$175,000",Oct 2008,Content Creators,TV 2,21 x 30 mins,Children,TV Production
Halberg Sports Awards 2009,"$85,898",Oct 2008,Television New Zealand,TV One,1 x 90 mins,Arts/Culture,TV Production
Young Farmer Contest 2009,"$60,000",Oct 2008,Dexterity Productions,TV One,1 x 60 mins,Special Interest,TV Production
Pacific Beat Street 8,"$1,310,702",Oct 2008,Drum Productions,TV3,36 x 30 mins,Special Interest,TV Production
Piece Of My Heart,"$1,374,781",Sep 2008,MF Films,TV One,1 x 120 mins,Drama,TV Production
Outrageous Fortune 5,"$9,123,650",Aug 2008,South Pacific Pictures,TV3,19 x 60 mins,Drama,TV Production
Eating Media Lunch 8,"$181,772",Aug 2008,Great Southern Television,TV 2,3 x 60 mins,Comedy,TV Production
Country Calendar 2009,"$390,000",Aug 2008,Television New Zealand,TV One,26 x 30 mins,Documentary,TV Production
Matariki,"$400,000",Aug 2008,Filmwork (Matariki),Maori Television,1 x 120 mins,Drama,TV Production
Kiwi Champions,"$33,305",Aug 2008,J C Productions,TV3,1 x 60 mins,Documentary,TV Production
What's Really In Our Food? 2,"$569,941",Aug 2008,Top Shelf Productions,TV3,10 x 30 mins,Documentary,TV Production
Money Man 4,"$392,016",Aug 2008,Cream Media,TV3,10 x 30 mins,Documentary,TV Production
Tracker,"$400,000",Aug 2008,Tracker Film Distribution,TV One,1 x 120 mins,Drama,TV Production
The Kiwi Who Saved Britain,"$219,898",Aug 2008,Greenstone Pictures,TV One,1 x 60 mins,Documentary,TV Production
Save Our Home,"$373,650",Aug 2008,Jump Productions,TV One,10 x 30 mins,Documentary,TV Production
The Great Land Debate,"$90,497",Aug 2008,Maori Television Service,Maori Television,1 x 120 mins,Arts/Culture,TV Production
Play It Strange 5,"$133,412",Aug 2008,Isola Productions,C4,1 x 60 mins,Arts/Culture,TV Production
Aunty Moves In,"$444,777",Aug 2008,Kiwa Media,Maori Television,13 x 30 mins,Documentary,TV Production
Million Dollar Catch,"$471,350",Aug 2008,Great Southern Television,TV3,10 x 30 mins,Documentary,TV Production
Qantas Film & Television Awards 2008,"$114,444",Aug 2008,TVWorks,TV3,1 x 90 mins,Arts/Culture,TV Production
Kaitangata Twitch,"$3,600,000",Aug 2008,Kaitangata Twitch Productions,Maori Television,13 x 30 mins,Children's Drama,TV Production
Once Bitten,"$115,000",Aug 2008,Caravan Productions,Maori Television,2 x 60 mins,Documentary,TV Production
The Flight Of Te Hookioi,"$131,829",Jul 2008,Monsoon Pictures International,Maori Television,1 x 60 mins,Documentary,TV Production
Rei Hamon: Man Of Nature,"$122,229",Jul 2008,KOG TV,Maori Television,1 x 60 mins,Documentary,TV Production
I Am The River,"$125,410",Jul 2008,Razor Films,Maori Television,1 x 60 mins,Documentary,TV Production
Sir Graham Latimer - Nation Maker,"$128,575",Jul 2008,Front of The Box Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Skin To Skin,"$124,337",Jul 2008,Screentime New Zealand,Maori Television,1 x 60 mins,Documentary,TV Production
Rural Drift,"$332,639",Jun 2008,Scottie Douglas Productions,TV 2,6 x 30 mins,Comedy,TV Production
One Land,"$1,009,414",Jun 2008,Eyeworks Touchdown,TV One,6 x 60 mins,Documentary,TV Production
South,"$403,259",Jun 2008,Jam TV,TV One,7 x 30 mins,Documentary,TV Production
Missing Pieces 1,"$547,464",Jun 2008,Eyeworks New Zealand,TV3,10 x 30 mins,Documentary,TV Production
Flight Of The Conchords: On Air,"$76,660",Jun 2008,POP FILM,Prime,1 x 60 mins,Documentary,TV Production
How To Look At A Painting,"$1,115,564",Jun 2008,Desert Road,TV One,12 x 30 mins,Arts/Culture,TV Production
Nine Lessons And Carols 2008,"$136,850",Jun 2008,C4 PRODUCTIONS,TV One,1 x 90 mins,Special Interest,TV Production
Smokefree Rockquest 2008,"$291,673",Jun 2008,Visionary Film & Tv,C4,7 x 30 mins,Children,TV Production
Just The Job 3,"$125,848",Jun 2008,Dave Mason Productions,TV 2,10 x 30 mins,Children,TV Production
This Is Not My Life,"$6,824,314",Jun 2008,GRST,TV One,13 x 60 mins,Drama,TV Production
TV Captioning 2008/09,"$1,900,000",Jun 2008,TVNZ,Captioning and Audio Description,,,Captioning and Audio Description
Cool Kids Cooking 2,"$20,000",Apr 2008,Top Shelf Productions,TV 2,25 x 6 mins,Children,TV Production
Stage Challenge 2008,"$335,055",Apr 2008,Whitebait Productions,TV3,6 x 35 mins,Children,TV Production
Tu Te Puehu 9,"$235,000",Apr 2008,Te Aratai Film & Tv Productions,TV3,20 x 30 mins,Children,TV Production
48 Hours 2008,"$100,028",Apr 2008,Two Heads,C4,Arts/Culture,TV Production,TV Production
Style Pasifika 2008,"$140,036",Apr 2008,Drum Productions,TV One,1 x 60 mins,Arts/Culture,TV Production
World Of Wearable Art 2008 Unzipped,"$139,635",Apr 2008,Television New Zealand,TV One,1 x 60 mins,Arts/Culture,TV Production
Paradise Cafe 1,"$2,675,000",Apr 2008,The Gibson Group,TV 2,13 x 30 mins,Children's Drama,TV Production
Thanksgiving Service For Sir Edmund Hillary,"$240,200",Mar 2008,Television New Zealand,TV One,1 x 60 mins,Arts/Culture,TV Production
Te Koha,"$117,000",Mar 2008,Puriri Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Dancing In The Sky,"$135,000",Mar 2008,Awa International,Maori Television,1 x 60 mins,Documentary,TV Production
Small Blacks TV 2008,"$150,014",Feb 2008,Quick TV,TV3,21 x 30 mins,Children,TV Production
Aotearoha - The Billy T's,"$117,098",Feb 2008,MediaWorks TV,TV3,1 x 60 mins,Arts/Culture,TV Production
Stage Of Origin 2008,"$124,464",Feb 2008,Pro-nesia,TV3,1 x 60 mins,Arts/Culture,TV Production
Tribute '08,"$260,000",Feb 2008,Screentime New Zealand,TV One,1 x 90 mins,Arts/Culture,TV Production
Go Girls 1,"$6,245,593",Feb 2008,South Pacific Pictures,TV 2,13 x 60 mins,Drama,TV Production
The Vintner's Luck,"$450,000",Feb 2008,Ascension Film,TV3,1 x 120 mins,Drama,TV Production
Until Proven Innocent,"$1,390,000",Feb 2008,Lippy Pictures,TV One,1 x 120 mins,Drama,TV Production
The Kitchen Job 1,"$695,386",Feb 2008,Top Shelf Productions,TV3,10 x 60 mins,Documentary,TV Production
Phunk Nation,"$390,726",Feb 2008,Omnicron Productions,Maori Television,13 x 30 mins,Documentary,TV Production
Politically Incorrect Guide To Parenting,"$281,248",Feb 2008,Razor Films,TV One,6 x 30 mins,Documentary,TV Production
The Investigator 2,"$658,850",Feb 2008,Red Sky Film & Television,TV One,6 x 60 mins,Documentary,TV Production
Beyond The Darklands 2,"$457,210",Feb 2008,Screentime New Zealand,TV One,Documentary,TV Production,TV Production
Journey To Hell,"$114,998",Feb 2008,Cream Media,TV One,1 x 60 mins,Documentary,TV Production
I Am TV 2008,"$1,390,681",Dec 2007,TVNZ,TV 2,35 x 60 mins,Youth,TV Production
Kotahi Te Ra-Waitangi 2008...,"$60,000",Dec 2007,Maori Television Service,Maori Television,1 x 90 mins,Arts/Culture,TV Production
Amazing Extraordinary Friends 3,"$1,949,679",Dec 2007,Greenstone Pictures,TV 2,13 x 30 mins,Children's Drama,TV Production
Aftershock,"$1,400,000",Dec 2007,The Gibson Group,TV3,1 x 120 mins,Drama,TV Production
Bro' Town 5,"$1,780,000",Dec 2007,Bro Town Productions Series 5,TV3,6 x 30 mins,Comedy,TV Production
Comedy Gala 2008,"$134,868",Dec 2007,Satellite Media Group,TV 2,1 x 120 mins,Comedy,TV Production
Aftershock - Documentary,"$70,000",Dec 2007,The Gibson Group,TV3,1 x 60 mins,Documentary,TV Production
Lost In Libya,"$171,116",Dec 2007,Pacific Screen,TV One,1 x 90 mins,Documentary,TV Production
The Bridge Builder,"$94,590",Dec 2007,Tawera Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Makereti - The Enigmatic Guide,"$129,202",Dec 2007,Blue Bach Productions,Maori Television,1 x 60 mins,Documentary,TV Production
October 15Th,"$124,427",Dec 2007,PBK,Maori Television,1 x 60 mins,Documentary,TV Production
Raising The Moko,"$124,707",Dec 2007,Scottie Douglas Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Riki Ellison - The Defender,"$128,709",Dec 2007,Butobase,Maori Television,1 x 60 mins,Documentary,TV Production
Ta Paora,"$133,253",Dec 2007,Tumanako Productions,Maori Television,1 x 60 mins,Documentary,TV Production
The People's Party,"$103,137",Dec 2007,Front of The Box Productions,Maori Television,1 x 60 mins,Documentary,TV Production
Rocked The Nation 1,"$592,843",Dec 2007,Satellite Media Group,C4,6 x 60 mins,Documentary,TV Production
Are You My Tribe?,"$314,548",Dec 2007,Front of The Box Productions,TV One,3 x 60 mins,Documentary,TV Production
Eating For Two,"$91,212",Dec 2007,Isola Productions,TV One,1 x 60 mins,Documentary,TV Production
Paralympics 2008,"$350,000",Dec 2007,Television New Zealand,TV One,12 x 60 mins,Special Interest,TV Production
Sealord Opera In The Park,"$188,546",Dec 2007,C4 Productions,Maori Television,1 x 120 mins,Arts/Culture,TV Production
Let's Get Inventin' 3,"$528,000",Oct 2007,Television Spaceman,TV 2,11 x 30 mins,Children,TV Production
Sticky TV 2008,"$1,820,910",Oct 2007,Pickled Possum Productions,TV3,215 x 30 mins,Children,TV Production
Studio 2 2008,"$2,532,646",Oct 2007,TVNZ,TV 2,195 x 30 mins,Children,TV Production
The Simon Eliot Show 2,"$454,055",Oct 2007,The Gibson Group,TV3,13 x 30 mins,Children,TV Production
What Now 2008,"$2,800,000",Oct 2007,What Now,TV 2,40 x 120 mins,Children,TV Production
Anzac Day 2008 Dawn Service,"$36,465",Oct 2007,TVNZ,TV One,1 x 60 mins,Arts/Culture,TV Production
Anzac Day 2008 Wreathlaying,"$34,906",Oct 2007,TVNZ,TV One,1 x 60 mins,Arts/Culture,TV Production
Chunuk Bair 2008,"$160,802",Oct 2007,Maori Television Service,Maori Television,1 x 60 mins,Arts/Culture,TV Production
Polyfest 2008,"$196,178",Oct 2007,TVNZ,TV 2,5 x 30 mins,Arts/Culture,TV Production
The Table Plays,"$380,000",Oct 2007,Infotainment Film And Video T/D Firsthand Prod,Maori Television,6 x 30 mins,Drama,TV Production
Life's A Riot,"$1,392,885",Oct 2007,Riot Productions,TV One,1 x 120 mins,Drama,TV Production
Diplomatic Immunity,"$3,259,000",Oct 2007,South Pacific Pictures,TV 2,13 x 30 mins,Comedy,TV Production
Unauthorised History Of NZ 4,"$295,500",Oct 2007,Great Southern Television,TV One,7 x 30 mins,Comedy,TV Production
Wayne Anderson: Glory Days,"$434,894",Oct 2007,Butobase,Prime,7 x 30 mins,Comedy,TV Production
Birdland,"$433,855",Oct 2007,Great Southern Television,TV One,7 x 30 mins,Documentary,TV Production
He Kauka Marangaranga,"$90,000",Oct 2007,Blueskin Films,Maori Television,1 x 90 mins,Documentary,TV Production
Money Man 3,"$403,156",Oct 2007,Cream Media,TV3,10 x 30 mins,Documentary,TV Production
Topp Twins: Untouchable Girls,"$205,843",Oct 2007,Diva Films,TV One,1 x 105 mins,Documentary,TV Production
The Town New Zealand Saved,"$149,609",Oct 2007,Te Reo Television,TV One,1 x 60 mins,Documentary,TV Production
The Killing Of Sophie Elliott,"$106,000",Oct 2007,Great Journeys Resources,TV One,1 x 60 mins,Documentary,TV Production
The Worst That Could Happen,"$104,000",Oct 2007,Great Journeys Resources,TV One,1 x 60 mins,Documentary,TV Production
What's Really In Our Food? 1,"$523,993",Oct 2007,Top Shelf Productions,TV3,10 x 30 mins,Documentary,TV Production
Asia Downunder 2008,"$1,204,840",Oct 2007,Asia Vision,TV One,40 x 30 mins,Special Interest,TV Production
Pacific Beat Street 7,"$1,204,438",Oct 2007,Drum Productions,TV3,36 x 30 mins,Special Interest,TV Production
Pukana Subtitles 2008,"$65,411",Oct 2007,Cinco Cine Film Productions,TV3,Special Interest,TV Production,TV Production
Tagata Pasifika 2008,"$1,387,000",Oct 2007,Television New Zealand,TV One,52 x 30 mins,Special Interest,TV Production
Attitude 2008,"$1,520,650",Oct 2007,RSVP Productions,TV One,40 x 30 mins,Special Interest,TV Production
My God 3,"$390,000",Oct 2007,Pacific Crews,TV One,10 x 30 mins,Special Interest,TV Production
Open Door 9,"$387,520",Oct 2007,Morningside Productions,TV3,10 x 30 mins,Special Interest,TV Production
Praise Be 2008,"$490,000",Oct 2007,Television New Zealand,TV One,36 x 30 mins,Special Interest,TV Production
Rural Delivery 2008,"$988,444",Oct 2007,Showdown Productions,TV One,40 x 30 mins,Special Interest,TV Production
Young Farmer Contest 2008,"$60,000",Oct 2007,Dexterity Productions,TV One,1 x 60 mins,Special Interest,TV Production
Halberg Awards 2008,"$83,313",Oct 2007,Television New Zealand,TV One,1 x 120 mins,Arts/Culture,TV Production
Just The Job 2,"$125,916",Oct 2007,Dave Mason Productions,TV 2,10 x 30 mins,Children,TV Production
Cinderella,"$284,196",Sep 2007,TVNZ,TV One,1 x 120 mins,Arts/Culture,TV Production
The Gangs 2,"$73,593",Sep 2007,Top Shelf Productions,TV3,1 x 60 mins,Documentary,TV Production
Fatal Attraction,"$95,163",Sep 2007,Cream Media,TV One,1 x 60 mins,Documentary,TV Production
The Outsiders,"$374,073",Sep 2007,Greenstone Pictures,TV One,3 x 60 mins,Documentary,TV Production
School Of Success,"$343,227",Sep 2007,Greenstone Pictures,TV One,3 x 60 mins,Documentary,TV Production
Under The Mountain,"$500,000",Sep 2007,Redhead Films,TV 2,1 x 120 mins,Drama,TV Production
Outrageous Fortune 4,"$8,159,240",Aug 2007,South Pacific Pictures,TV3,18 x 60 mins,Drama,TV Production
Apron Strings,"$562,518",Aug 2007,Apron Strings Film Production,TV One,1 x 110 mins,Drama,TV Production
Show Of Hands,"$568,987",Aug 2007,Endurance Film Production,TV One,1 x 120 mins,Drama,TV Production
Eating Media Lunch 7,"$259,982",Aug 2007,Great Southern Television,TV 2,9 x 30 mins,Comedy,TV Production
Countdown To Disaster: Wahine,"$204,473",Aug 2007,Mr Smith Television,TV One,1 x 60 mins,Documentary,TV Production
Country Calendar 2008,"$436,000",Aug 2007,Television New Zealand,TV One,26 x 30 mins,Documentary,TV Production
Play It Strange 4,"$120,950",Aug 2007,Isola Productions,C4,1 x 60 mins,Arts/Culture,TV Production
A Capital Christmas,"$96,093",Aug 2007,C4 Productions,TV One,1 x 60 mins,Special Interest,TV Production
Tu Te Puehu 8,"$220,000",Aug 2007,Te Aratai Film & Tv Productions,TV3,20 x 30 mins,Children,TV Production
Donated To Science,"$101,187",Jul 2007,PRN FILMS,TV3,1 x 60 mins,Documentary,TV Production
TV Captioning 2007/08,"$1,841,500",Jul 2007,TVNZ,Captioning and Audio Description,,,Captioning and Audio Description
Activate 1,"$458,338",Jun 2007,Quick TV,TV 2,15 x 30 mins,Children,TV Production
Bryan & Bobby,"$100,000",Jun 2007,Treehut,TV3,30 x 10 mins,Children,TV Production
Staines Down Drains 2,"$1,000,000",Jun 2007,Staines 2,TV 2,13 x 11 mins,Children,TV Production
Bassline 1,"$540,137",Jun 2007,Revolution Production Int,Prime,13 x 60 mins,Arts/Culture,TV Production
Making Tracks 1,"$299,966",Jun 2007,Two Heads,C4,6 x 60 mins,Arts/Culture,TV Production
World Of Wearableart Awards 2007,"$131,483",Jun 2007,Television New Zealand,TV One,1 x 60 mins,Arts/Culture,TV Production
Predicament,"$450,000",Jun 2007,Novel Productions,TV One,1 x 120 mins,Drama,TV Production
Moon TV 5,"$293,208",Jun 2007,Moon Enterprises,TV 2,10 x 30 mins,Comedy,TV Production
The Pretender 2,"$1,600,295",Jun 2007,Great Southern Television,TV One,8 x 30 mins,Comedy,TV Production
Type 2 - The Silent Killer,"$124,500",Jun 2007,Greenstone Pictures,Maori Television,1 x 60 mins,Documentary,TV Production
Wasted 2,"$469,463",Jun 2007,Fumes (NZ),TV3,10 x 30 mins,Documentary,TV Production
A Thousand Apologies,"$696,063",Jun 2007,Great Southern Television,TV3,6 x 30 mins,Comedy,TV Production
The Jaquie Brown Diaries 1,"$645,068",Jun 2007,Young Gifted & Brown,TV3,6 x 30 mins,Comedy,TV Production
Whanau,"$480,870",Jun 2007,Cinco Cine Film Productions,TV One,78 x 6 mins,Special Interest,TV Production
TV Captioning 2006/07 Additional,"$71,000",Jun 2007,TVNZ,Captioning and Audio Description,,,Captioning and Audio Description
Westfield Style Pasifika 2007,"$129,837",Jun 2007,Drum Productions,TV One,1 x 60 mins,Arts/Culture,TV Production
Qantas Television Awards 2007,"$150,000",Jun 2007,Television New Zealand,TV One,1 x 120 mins,Arts/Culture,TV Production
Action Central 1,"$1,295,521",Jun 2007,Pickled Possum Productions,TV3,65 x 10 mins,Children,TV Production
Let My Whakapapa Speak,"$89,915",Jun 2007,Conbrio Media,Maori Television,1 x 90 mins,Documentary,TV Production
Honouring Hillary,"$218,284",Jun 2007,Television New Zealand,TV One,1 x 60 mins,Documentary,TV Production
Whanau 2007 (Part 2),"$115,620",Jun 2007,Tumanako Productions,Maori Television,1 x 60 mins,Documentary,TV Production
King Of Con Additional,"$56,500",Jun 2007,Isola Productions,TV3,Drama,TV Production,TV Production
Asia Downunder 2007 Additional,"$481,182",Jun 2007,Asia Vision,TV One,20 x 30 mins,Special Interest,TV Production
Pacific Beat Street 6,"$423,336",Jun 2007,Drum Productions,TV3,12 x 30 mins,Special Interest,TV Production
The Gangs 1,"$137,124",Apr 2007,Top Shelf Productions,TV3,1 x 60 mins,Documentary,TV Production
Let's Get Inventin' 2,"$719,726",Apr 2007,Television Spaceman,TV 2,15 x 30 mins,Children,TV Production
Rockquest 2007,"$193,361",Apr 2007,Visionary Film & TV,C4,6 x 30 mins,Children,TV Production
Night After Night,"$158,752",Apr 2007,Bushcraft,Maori Television,1 x 90 mins,Documentary,TV Production
The Outlook For Someday 1,"$129,820",Apr 2007,Connected Media Trust,Maori Television,1 x 60 mins,Documentary,TV Production
Anzac Day 2007 Dawn Service,"$36,809",Feb 2007,TVNZ,TV One,1 x 90 mins,Arts/Culture,TV Production
The Millen Baird Show,"$797,600",Feb 2007,Great Southern Television,TV3,8 x 30 mins,Comedy,TV Production
Lost In Translation,"$650,170",Feb 2007,Ponsonby Productions,Maori Television,10 x 30 mins,Documentary,TV Production
Separation City,"$475,000",Feb 2007,Separation City,TV One,1 x 120 mins,Drama,TV Production
Chunuk Bair Live,"$160,369",Feb 2007,Screentime New Zealand,Maori Television,1 x 60 mins,Arts/Culture,TV Production
Just The Job 1,"$96,502",Feb 2007,Dave Mason Productions,TV 2,10 x 30 mins,Children,TV Production
Stage Challenge 2007,"$282,000",Feb 2007,Whitebait Productions,TV 2,6 x 30 mins,Children,TV Production
Aotearoha,"$116,407",Feb 2007,CANWEST TVWORKS,TV3,1 x 60 mins,Comedy,TV Production
Moon TV 4 Additional,"$116,884",Feb 2007,Moon Enterprises,TV 2,4 x 30 mins,Comedy,TV Production
Paradise Additional,"$65,000",Feb 2007,The Gibson Group,Prime,Comedy,TV Production,TV Production
Pop! Goes The Weasel 3,"$240,117",Feb 2007,The Down Low Concept,C4,12 x 30 mins,Comedy,TV Production
Relocated Mountains,"$71,290",Feb 2007,Butobase,Maori Television,1 x 120 mins,Documentary,TV Production
The Nuclear Reaction 2Nd Additional,"$7,500",Feb 2007,The TV Set,TV One,Documentary,TV Production,TV Production
Rain Of The Children,"$277,127",Feb 2007,Forward Films,Maori Television,1 x 120 mins,Drama,TV Production
Ride With The Devil Additnl,"$35,000",Feb 2007,Isola Productions,TV 2,Drama,TV Production,TV Production
The Outlook,"$364,774",Feb 2007,THE UMBRELLA COMPANY,TV 2,10 x 30 mins,Special Interest,TV Production
Young Farmer Contest 2007,"$45,000",Feb 2007,Dexterity Productions,TV One,1 x 60 mins,Special Interest,TV Production
